ir1,ir2,ir1filt,ir2filt
93367,83850,-16,-63
93369,83843,-16,-58
93395,83850,-18,-52
93396,83844,-23,-46
93414,83853,-29,-40
93407,83858,-36,-34
93412,83893,-42,-29
93424,83886,-48,-25
93453,83899,-53,-23
93452,83888,-58,-22
93473,83895,-63,-21
93471,83896,-67,-19
93490,83899,-71,-17
93495,83892,-74,-14
93485,83891,-77,-11
93481,83907,-78,-7
93508,83885,-77,-2
93509,83894,-76,3
93537,83886,-74,9
93552,83896,-73,15
93559,83900,-74,21
93582,83909,-75,27
93594,83901,-77,32
93569,83907,-80,36
93600,83923,-81,39
93584,83912,-82,42
93590,83919,-81,44
93586,83917,-79,46
93601,83926,-76,48
93587,83906,-71,49
93596,83900,-66,52
93569,83883,-59,55
93545,83861,-50,61
93460,83821,-37,70
93440,83805,-19,81
93364,83764,5,96
93342,83757,35,114
93301,83717,70,134
93257,83728,108,154
93245,83701,146,174
93265,83714,184,193
93230,83724,217,209
93259,83750,244,220
93263,83748,265,225
93303,83749,278,226
93319,83756,282,223
93352,83798,278,215
93364,83791,266,205
93387,83802,248,191
93394,83810,226,176
93424,83825,201,160
93432,83830,175,143
93454,83850,148,127
93459,83848,122,111
93461,83871,98,95
93497,83849,76,81
93494,83873,55,68
93471,83866,38,58
93491,83876,25,49
93500,83872,14,41
93505,83865,6,35
93510,83857,0,32
93512,83859,-3,30
93497,83838,-6,30
93494,83862,-7,32
93508,83848,-6,34
93480,83860,-3,37
93470,83858,0,39
93480,83871,5,40
93504,83864,10,40
93542,83867,14,40
93534,83861,15,39
93528,83886,13,38
93530,83865,11,36
93510,83889,8,33
93529,83902,6,30
93521,83895,5,25
93550,83908,3,20
93556,83920,1,15
93596,83904,-2,9
93621,83923,-8,4
93641,83931,-17,0
93605,83946,-27,-6
93617,83947,-37,-12
93613,83958,-45,-17
93610,83941,-50,-23
93615,83961,-54,-27
93629,83944,-56,-31
93654,83941,-57,-33
93660,83932,-58,-33
93670,83945,-60,-32
93675,83940,-62,-30
93692,83965,-65,-28
93673,83976,-67,-26
93708,83994,-70,-27
93679,83978,-71,-28
93688,83984,-72,-30
93664,83976,-71,-32
93672,83984,-67,-34
93663,83963,-62,-34
93647,83954,-56,-33
93600,83928,-47,-30
93556,83906,-34,-24
93519,83867,-16,-15
93455,83845,5,-2
93395,83796,33,14
93376,83792,66,34
93343,83773,102,56
93337,83740,138,78
93317,83755,172,100
93339,83770,202,119
93320,83773,227,134
93353,83803,245,144
93384,83810,255,148
93390,83819,256,146
93390,83819,250,139
93408,83842,239,130
93421,83829,224,117
93455,83843,204,104
93437,83844,182,90
93461,83868,160,76
93467,83854,137,62
93486,83882,115,49
93479,83870,94,36
93472,83913,75,24
93480,83890,59,13
93502,83885,46,3
93499,83880,34,-4
93511,83886,24,-10
93500,83863,15,-14
93491,83880,8,-15
93461,83869,4,-15
93452,83875,3,-14
93445,83855,5,-12
93431,83879,10,-9
93434,83868,16,-6
93413,83877,24,-4
93403,83870,32,-3
93398,83872,41,-2
93416,83872,49,-1
93425,83886,55,-1
93424,83897,58,-2
93429,83897,59,-4
93422,83892,57,-7
93418,83912,55,-11
93402,83914,52,-15
93423,83919,49,-20
93435,83928,45,-25
93446,83931,39,-30
93432,83921,33,-35
93455,83931,26,-39
93432,83930,19,-43
93481,83924,12,-45
93442,83922,5,-47
93466,83919,-2,-47
93457,83944,-8,-46
93472,83962,-14,-46
93442,83950,-19,-47
93464,83945,-23,-48
93453,83939,-25,-49
93474,83944,-27,-48
93470,83936,-29,-48
93505,83952,-32,-46
93493,83947,-36,-45
93489,83951,-40,-43
93489,83962,-44,-42
93486,83942,-47,-41
93482,83937,-50,-40
93443,83943,-50,-37
93410,83915,-48,-34
93361,83891,-40,-29
93275,83860,-27,-22
93235,83829,-7,-11
93198,83798,19,2
93174,83793,51,19
93127,83762,85,38
93665,83781,110,57
93652,83774,110,74
93664,83787,84,89
93676,83786,43,100
93679,83773,-7,107
93679,83776,-59,112
93699,83759,-108,114
93720,83758,-153,114
93716,83765,-191,113
93714,83766,-221,111
93719,83769,-243,108
93691,83764,-257,103
93678,83766,-262,98
93670,83749,-259,92
93631,83735,-249,88
93614,83705,-232,85
93599,83717,-210,84
93551,83682,-184,85
93504,83662,-155,89
93469,83634,-121,94
93389,83603,-84,102
