ir1,ir2
114063,104521
114068,104486
114094,104416
114075,104390
114082,104400
114077,104409
114064,104481
114058,104501
114063,104578
114064,104587
114094,104612
114140,104598
114178,104610
114221,104576
114288,104605
114289,104595
114312,104626
114366,104682
114401,104737
114440,104790
114506,104854
114574,104858
114640,104846
114711,104870
114475,104893
114538,104904
114593,104933
114651,104982
114678,105050
114722,105098
114776,105149
114790,105167
114837,105160
114879,105110
114920,105066
114935,104984
114980,104944
114992,104948
115025,104964
115026,105000
115032,105036
115050,105021
115090,105025
115094,104976
115128,104981
115170,104990
115189,104974
115205,104936
115222,104891
115244,104795
115262,104704
115271,104562
115283,104454
115268,104338
115301,104258
115297,104174
115259,104103
115225,104049
115188,104015
115060,103937
114992,103911
114875,103888
114751,103888
114613,103883
114488,103923
114362,103943
114240,103957
114148,103946
114056,103911
114001,103848
113964,103789
113935,103717
113908,103701
113885,103720
113865,103758
113817,103763
113792,103807
113760,103831
113739,103846
113720,103826
113721,103813
113738,103768
113769,103756
113816,103723
113821,103691
113852,103665
113885,103641
113885,103632
113897,103623
113892,103606
113879,103593
113901,103575
113903,103602
113887,103625
113881,103658
113882,103679
113851,103716
113856,103724
113869,103732
113884,103765
113896,103793
113924,103826
113929,103839
113961,103828
113998,103827
114011,103834
114032,103866
114053,103921
114081,103935
114126,103947
114163,103985
114178,103966
114207,103958
114225,103923
114240,103920
114272,103895
114298,103933
114340,103956
114375,104017
114426,104092
114440,104165
114481,104233
114479,104269
114466,104278
114505,104280
114557,104246
114584,104262
114634,104242
114681,104233
114698,104173
114716,104133
114763,104030
114777,103970
114803,103889
114816,103824
114847,103778
114849,103729
114849,103721
114811,103697
114786,103674
114730,103640
114632,103569
114527,103575
114431,103533
114303,103517
114182,103531
114076,103549
113982,103562
113890,103592
113821,103605
113714,103646
113687,103611
113641,103612
113626,103620
113606,103643
113632,103697
113614,103772
113600,103803
113588,103852
113593,103872
113558,103892
113566,103862
113569,103829
113625,103826
113640,103818
113698,103800
113740,103848
113794,103869
113785,103880
113800,103878
113812,103896
113822,103881
113821,103913
113857,103901
113874,103902
113868,103900
113879,103931
113894,103886
113898,103894
113915,103890
113929,103924
113953,103969
113974,104013
114002,104046
114018,104032
114053,104000
114091,103983
114107,103980
114160,104001
114170,104031
114216,104051
114257,104061
114292,104085
114296,104091
114338,104154
114327,104159
114377,104212
114411,104213
114420,104257
114461,104272
114496,104351
114501,104393
114549,104473
114582,104485
114620,104509
114617,104465
114636,104454
114642,104405
114676,104385
114707,104405
114741,104468
114781,104521
114799,104533
114812,104505
114830,104453
114882,104339
114886,104232
114913,104119
114924,104035
114966,103970
114967,103940
114981,103952
114966,103957
114907,103942
114893,103935
114825,103895
114735,103879
114637,103841
114524,103814
114380,103802
114269,103784
114143,103762
114066,103795
113957,103816
113894,103829
113844,103800
113775,103821
113742,103812
113719,103881
113690,103937
113679,103996
113657,103981
113647,103957
113607,103924
114799,103906
113608,103871
113616,103855
113635,103824
113675,103820
113686,103822
113732,103893
113753,103935
113769,103978
113774,103961
113769,103972
113787,103932
113805,103912
113817,103910
113837,103940
113853,103932
113851,103957
113872,103960
113852,103956
113861,103969
113866,104030
113887,104050
113893,104093
113908,104119
113934,104156
113985,104215
114003,104262
114036,104273
114073,104287
114094,104265
114119,104285
114119,104240
114137,104243
114149,104242
114206,104247
114234,104257
114242,104286
114283,104305
114305,104311
114325,104306
114359,104329
114388,104305
114392,104328
114420,104297
114427,104324
114465,104348
114493,104384
114515,104376
114535,104385
114559,104378
114571,104368
114586,104339
114612,104318
114620,104270
114644,104246
114682,104176
114721,104123
114732,104033
114777,103953
114780,103893
114783,103808
114829,103761
114809,103680
114797,103609
114741,103560
114713,103576
114632,103581
114548,103611
114489,103638
114356,103638
114256,103649
114116,103623
114012,103588
113926,103556
113826,103549
113788,103581
113727,103630
113681,103660
113628,103692
113601,103726
113563,103738
113513,103737
113487,103730
113482,103713
113470,103700
113491,103735
113493,103758
113525,103777
113547,103785
113588,103809
113566,103834
113596,103838
113593,103839
113608,103844
113629,103838
113689,103802
113697,103815
113710,103845
113734,103855
113730,103924
113715,103972
113724,104013
113718,104024
113728,104009
113712,104015
113747,103996
113745,103972
113779,104004
113817,104051
113833,104127
113869,104158
113889,104210
113922,104219
113932,104239
113964,104200
113990,104164
114007,104143
114037,104119
114061,104136
114079,104146
114100,104193
114125,104213
114185,104254
114187,104283
114228,104322
114235,104316
114287,104300
114289,104272
114320,104240
114347,104239
114370,104252
114383,104287
114422,104288
114428,104309
114472,104279
114475,104217
114536,104135
114554,104081
114575,103994
114602,103961
114625,103904
114639,103858
114649,103843
114626,103814
114626,103801
114619,103810
114584,103805
114531,103818
114450,103802
114337,103817
114247,103791
114108,103813
113995,103807
113883,103826
113793,103825
113698,103846
113621,103860
113542,103864
113496,103867
113448,103857
113425,103844
113376,103823
113339,103756
113300,103762
113277,103797
113251,103824
113235,103857
113249,103867
113245,103883
113236,103872
113252,103849
113272,103852
113302,103875
113317,103879
113351,103897
113379,103936
113372,103949
113396,103974
113409,103994
113396,104010
113423,104020
113391,104051
113391,104034
113386,104039
113398,104035
113407,104077
113411,104113
113427,104130
113434,104148
113427,104146
113446,104154
113444,104173
113496,104182
113496,104213
113569,104218
113573,104185
113630,104190
113633,104199
113642,104216
113660,104236
113677,104256
113699,104296
113727,104324
113786,104353
113795,104342
113833,104353
113846,104346
113857,104342
113893,104340
113878,104345
113904,104342
113917,104372
113940,104400
113984,104410
114006,104401
114046,104367
114050,104292
114079,104207
114089,104103
114128,104012
114129,103909
114169,103838
114182,103798
114218,103787
114240,103763
114244,103703
114247,103686
114219,103650
114183,103652
114112,103626
114013,103637
113893,103662
113748,103656
113603,103667
113443,103643
113283,103621
113127,103600
112974,103542
112858,103533
112757,103535
112672,103543
112612,103549
112558,103583
112498,103606
112457,103619
112401,103608
112360,103591
112335,103557
112305,103506
112290,103476
112275,103453
112299,103476
112335,103491
112340,103481
112364,103488
112398,103467
112398,103437
112425,103414
112442,103409
112460,103435
112447,103474
112457,103543
112444,103614
112452,103681
112443,103717
112459,103728
112465,103738
112454,103694
112457,103656
112468,103632
112466,103606
112463,103655
112512,103741
112517,103838
112565,103903
112616,103955
112679,103973
112710,103965
112727,103913
112730,103860
112717,103858
112748,103877
112757,103917
112795,103969
112813,104013
112869,104049
112903,104062
112952,104094
112962,104093
112975,104100
112966,104123
113002,104172
112990,104172
113033,104193
113063,104157
113120,104112
113139,104058
113201,103968
113245,103908
113303,103861
113347,103829
113408,103777
113458,103757
113481,103694
113504,103601
113547,103553
113523,103467
113498,103484
113473,103479
113379,103500
113298,103523
113169,103565
113033,103579
112867,103573
112708,103581
112541,103588
112386,103578
112270,103594
112133,103580
112046,103614
111984,103634
111935,103684
111934,103793
111910,103902
111921,103957
111929,104010
111925,104015
111912,103976
111879,103922
111869,103882
111875,103841
111898,103844
111933,103830
111966,103839
112055,103818
112161,103805
112255,103804
112318,103794
112342,103798
112367,103818
112358,103846
112357,103915
112357,103933
112330,103992
112372,104018
112363,104013
112413,103996
112443,103991
112507,103964
112562,103973
112599,104012
112634,104040
112673,104067
112669,104102
112683,104106
112692,104111
112731,104101
112752,104109
112800,104167
112822,104186
112862,104242
112874,104258
112896,104259
112911,104237
112956,104239
112944,104210
112944,104212
112950,104250
113016,104245
113074,104269
113146,104289
113233,104325
113283,104370
113319,104387
113356,104393
113355,104350
113373,104278
113370,104190
113372,104068
113384,103898
113432,103794
113476,103703
113539,103619
113602,103548
113649,103507
113690,103476
113719,103413
113712,103343
113708,103263
113652,103181
113579,103119
113469,103080
113292,103086
113129,103127
112942,103186
112763,103229
112573,103252
112405,103268
112234,103245
112097,103241
111954,103229
111858,103262
111753,103325
111678,103386
111641,103472
111631,103535
111644,103588
111657,103606
111659,103592
111655,103572
111633,103546
111619,103478
111624,103430
111642,103428
111681,103465
111736,103521
111812,103564
111875,103604
111912,103668
111946,103657
111982,103659
111982,103634
111976,103661
111954,103715
111969,103780
113129,103834
111998,103856
112045,103857
112066,103826
112064,103802
112065,103728
112083,103734
112085,103762
112110,103803
112113,103851
112176,103907
112204,103960
112257,104006
112286,103994
112347,103998
112356,103953
112395,103957
112420,103910
112451,103897
112478,103847
112533,103859
112560,103872
112609,103861
112631,103840
112649,103850
112674,103881
112689,103887
112697,103891
112724,103905
112738,103834
112771,103747
112794,103614
112827,103533
112852,103437
112907,103384
112913,103308
112945,103303
112959,103253
113030,103216
113036,103164
113083,103087
113104,103022
113112,102950
113074,102933
113047,102974
112902,103000
112772,103094
112615,103142
112426,103179
112221,103177
112051,103168
111859,103115
111680,103093
111528,103045
111407,103056
111321,103067
111275,103101
111242,103125
111253,103149
111260,103143
111257,103167
111296,103116
111268,103058
111274,103051
111266,103060
111261,103084
111295,103087
111312,103091
111375,103104
111459,103079
111523,103064
111571,103006
111619,102992
111665,102981
111668,103039
111705,103110
111725,103160
111734,103196
111754,103204
111767,103194
111766,103185
111756,103193
111773,103222
111759,103236
111743,103233
111804,103269
111821,103304
111880,103326
111924,103387
111979,103425
112021,103459
112021,103478
112036,103466
112068,103471
112070,103490
112097,103535
112127,103583
112206,103580
112246,103579
112292,103562
112305,103561
112340,103548
112371,103543
112432,103543
112428,103561
112473,103553
112473,103533
112525,103443
112554,103382
112609,103257
112650,103160
112689,103051
112736,102978
112745,102951
112775,102968
112776,102985
112801,102970
112834,102947
112801,102951
112768,102979
112678,103022
112559,103051
112362,103111
112175,103132
111959,103162
111739,103155
111559,103194
111373,103241
111268,103254
111207,103270
111118,103282
111091,103300
111032,103334
111012,103365
111013,103405
111016,103402
111023,103377
111018,103349
111026,103342
111055,103275
111071,103269
111110,103266
111127,103282
111203,103314
111257,103325
111348,103305
111426,103313
111498,103280
111544,103235
111606,103218
111614,103201
111612,103214
111609,103220
111588,103229
111604,103216
111618,103218
111602,103222
111608,103203
111611,103253
111624,103253
111646,103301
111639,103329
111661,103335
111674,103319
111703,103320
111741,103333
111790,103346
111819,103339
111872,103376
111893,103396
111928,103443
111938,103443
111971,103461
112015,103447
112045,103385
112065,103338
112084,103325
112101,103312
112137,103305
112147,103293
112177,103259
112205,103172
112239,103084
112277,102959
112322,102833
112339,102702
112400,102629
112401,102578
112446,102543
112457,102544
112460,102558
112476,102536
112457,102552
112435,102469
112406,102416
112303,102382
112153,102401
111951,102397
111735,102468
111468,102504
111267,102573
111067,102583
110926,102580
110813,102605
110751,102622
110695,102656
110661,102701
110650,102751
110646,102784
110644,102816
110650,102822
110646,102793
110682,102754
110682,102703
110729,102667
110743,102613
110770,102634
110809,102652
110862,102728
110904,102746
110952,102793
111023,102797
111074,102820
111117,102820
111143,102843
111149,102837
111179,102882
111159,102916
111167,102969
111167,102976
111177,102974
111200,102931
111215,102931
111219,102904
111305,102926
111270,102978
111324,103042
111328,103070
111368,103117
111389,103133
111419,103136
111443,103086
111489,103080
111529,103015
111559,103022
111577,103042
111624,103114
111659,103119
111654,103183
111724,103171
111764,103181
111791,103169
111842,103167
111880,103119
111907,103126
111931,103117
111942,103127
111967,103117
111977,103075
112006,103029
112050,102969
112103,102875
112152,102755
112165,102649
112186,102527
112221,102430
112242,102323
112251,102238
112307,102227
112346,102191
112347,102226
112408,102226
112417,102261
112403,102289
112355,102308
112250,102310
112138,102281
111932,102233
111736,102214
111519,102218
111295,102248
111090,102277
110937,102323
110777,102325
110688,102350
110608,102348
110568,102395
110569,102432
110545,102463
110535,102493
110523,102476
110543,102450
110521,102421
110552,102430
110539,102458
110565,102454
110598,102475
110660,102468
110687,102466
110761,102440
110825,102428
110919,102412
110954,102442
110999,102466
111027,102548
111023,102573
110996,102610
111006,102622
110988,102604
110989,102584
110996,102571
111007,102567
110991,102586
110996,102580
110982,102599
110989,102572
111024,102579
111042,102556
111081,102585
111114,102580
111152,102597
111200,102642
111220,102690
111273,102730
111322,102770
111338,102788
111365,102818
111400,102804
111451,102823
